planet,day,x,y,z
Mercury,0.0,-19461160.31805236,-66911600.918683946,-3679699.665015797
Mercury,0.7314629258517034,-17108497.423103552,-67564848.07022995,-3949004.4636944234
Mercury,1.4629258517034067,-14729179.087238258,-68112829.43405043,-4212156.770370545
Mercury,2.19438877755511,-12326918.1337628,-68554715.42812224,-4468748.031900706
Mercury,2.9258517034068134,-9905442.97194263,-68889739.49877249,-4718373.413310288
Mercury,3.657314629258517,-7468502.605987796,-69117197.44111224,-4960631.282525518
Mercury,4.38877755511022,-5019871.755915018,-69236447.24733296,-5195122.727957502
Mercury,5.1202404809619235,-2563356.085780317,-69246909.4913173,-5421451.110042291
Mercury,5.851703406813627,-102797.53472045583,-69148068.26230241,-5639221.648196245
Mercury,6.58316633266533,2357920.254264775,-68939472.66477022,-5848041.04505485
Mercury,7.314629258517034,4814866.41384676,-68620738.90634426,-6047517.1503301095
Mercury,8.046092184368737,7264057.247793366,-68191553.00026596,-6237258.667152469
Mercury,8.77755511022044,9701450.551959174,-67651674.1140227,-6416874.904364351
Mercury,9.509018036072144,12122939.873269863,-67000938.60091951,-6585975.578911583
Mercury,10.240480961923847,14524348.722629154,-66239264.756831,-6744170.673245042
Mercury,10.97194388777555,16901424.762024082,-65366658.35004263,-6891070.353507177
Mercury,11.703406813627254,19249833.99142556,-64383218.977976866,-7026284.955247398
Mercury,12.434869739478957,21565154.967525546,-63289147.310673565,-7149425.044497939
Mercury,13.16633266533066,23842873.09408772,-62084753.28711143,-7260101.563259768
Mercury,13.897795591182364,26078375.03291339,-60770465.336743444,-7357926.06980827
Mercury,14.629258517034067,28266943.295364268,-59346840.70487346,-7442511.085743554
Mercury,15.36072144288577,30403751.087290477,-57814576.96657487,-7513470.563390961
Mercury,16.092184368737474,32483857.49536927,-56174524.81954945,-7570420.489014019
Mercury,16.82364729458918,34502203.12058111,-54427702.25137795,-7612979.639341443
Mercury,17.55511022044088,36453606.28516955,-52575310.18068049,-7640770.511134564
Mercury,18.286573146292582,38332759.9633118,-50618749.67433261,-7653420.44592814
Mercury,19.018036072144287,40134229.6132373,-48559640.84350155,-7650562.974653106
Mercury,19.749498997995993,41852452.12003235,-46399843.51915759,-7631839.40956883
Mercury,20.480961923847694,43481736.09420925,-44141479.801970266,-7596900.71375271
Mercury,21.212424849699396,45016263.81156763,-41786958.57101551,-7545409.681251312
Mercury,21.9438877755511,46450095.12512112,-39339002.01913195,-7477043.463795021
Mercury,22.675350701402806,47777173.72991025,-36800674.2584458,-7391496.4825853
Mercury,23.406813627254508,48991336.216141626,-34175412.005588315,-7288483.765899871
Mercury,24.13827655310621,50086324.40470136,-31467057.31018663,-7167744.754887433
Mercury,24.869739478957914,51055801.52061256,-28679892.229720663,-7029047.620629164
Mercury,25.60120240480962,51893372.82272293,-25818675.27588784,-6872194.134932947
Mercury,26.33266533066132,52592611.369239286,-22888679.3590515,-6697025.134903813
Mercury,27.064128256513023,53147089.65500671,-19895730.834885392,-6503426.6164959
Mercury,27.795591182364728,53550417.90264601,-16846249.107779853,-6291336.484276889
Mercury,28.527054108216433,53796289.81918241,-13747286.066154355,-6060751.972688498
Mercury,29.258517034068134,53878536.634113364,-10606564.413613306,-5811737.737229302
Mercury,29.989979959919836,53791190.20340438,-7432513.716474429,-5544434.591214836
Mercury,30.72144288577154,53528555.88397289,-4234302.714511133,-5259068.834076221
Mercury,31.452905811623246,53085295.74016413,-1021866.1430744245,-4955962.0796293905
Mercury,32.18436873747495,52456522.42142427,2194075.9990273505,-4635541.446710015
Mercury,32.91583166332665,51637903.73226429,5402009.114623751,-4298349.919793222
Mercury,33.64729458917836,50625777.48628797,8589627.274447752,-3945056.6241656053
