planet,day,x,y
Mercury,0.0,-19292920.509469993,-67061333.91356117
Mercury,0.6093489148580968,-17324700.113399815,-67621967.2417397
Mercury,1.2186978297161937,-15337744.87974571,-68109475.61495754
Mercury,1.8280467445742905,-13334210.188521605,-68523360.60487717
Mercury,2.4373956594323873,-11316258.044321973,-68863154.36718865
Mercury,3.046744574290484,-9286059.076494016,-69128419.27247767
Mercury,3.656093489148581,-7245794.576985106,-69318747.71296632
Mercury,4.265442404006678,-5197658.574562308,-69433762.08680587
Mercury,4.874791318864775,-3143859.9441527356,-69473114.96257837
Mercury,5.484140233722871,-1086624.5500202824,-69436489.42766641
Mercury,6.093489148580968,971802.5786264933,-69323599.62518239
Mercury,6.702838063439065,3029155.0412149318,-69134191.48521383
Mercury,7.312186978297162,5083142.830509449,-68868043.65724234
Mercury,7.921535893155259,7131450.070788711,-68524968.65173382
Mercury,8.530884808013356,9171732.732392455,-68104814.20007941
Mercury,9.140233722871452,11201616.326204268,-67607464.84329222
Mercury,9.74958263772955,13218693.582452437,-67032843.76113437
Mercury,10.358931552587647,15220522.119189257,-66380914.85466494
Mercury,10.968280467445743,17204622.106972467,-65651685.09655651
Mercury,11.57762938230384,19168473.93763588,-64845207.164927386
Mercury,12.186978297161936,21109515.906634226,-63961582.37786942
Mercury,12.796327212020033,23025141.920302223,-63000963.94731027
Mercury,13.40567612687813,24912699.241514083,-61963560.57232326
Mercury,14.015025041736227,26769486.289706044,-60849640.39346833
Mercury,14.624373956594324,28592750.514065765,-59659535.33119511
Mercury,15.233722871452422,30379686.36194817,-58393645.83273329
Mercury,15.843071786310517,32127433.368291765,-57052446.05320046
Mercury,16.452420701168613,33833074.39603534,-55636489.497827165
Mercury,17.061769616026712,35493634.062329516,-54146415.15317509
Mercury,17.671118530884808,37106077.390753314,-52582954.135936566
Mercury,18.280467445742904,38667308.73585183,-50946936.88826031
Mercury,18.889816360601003,40174171.03315261,-49239300.94845082
Mercury,19.4991652754591,41623445.43547079,-47461099.32519467
Mercury,20.108514190317194,43011851.40481136,-45613509.50203662
Mercury,20.717863105175294,44336047.3385783,-43697843.096463166
Mercury,21.32721202003339,45592631.81912629,-41715556.19444268
Mercury,21.936560934891485,46778145.58695231,-39668260.376359805
Mercury,22.545909849749584,47889074.349999286,-37557734.443673596
Mercury,23.15525876460768,48921852.55457181,-35385936.84698307
Mercury,23.764607679465776,49872868.257125504,-33155018.805118077
Mercury,24.37395659432387,50738469.25050576,-30867338.09095555
Mercury,24.98330550918197,51514970.61279847,-28525473.442422073
Mercury,25.592654424040067,52198663.86143302,-26132239.536071144
Mercury,26.202003338898162,52785827.909017615,-23690702.435192347
Mercury,26.81135225375626,53272742.029901974,-21204195.394079667
Mercury,27.420701168614357,53655701.05676572,-18676334.86434562
Mercury,28.030050083472453,53931033.03350734,-16111036.507574283
Mercury,28.639398998330552,54095119.55299325,-13512530.970823491
Mercury,29.248747913188648,54144419.00417082,-10885379.127377715
Mercury,29.858096828046744,54075492.94071972,-8234486.424851697
Mercury,30.467445742904843,53885035.76059522,-5565115.916773536
Mercury,31.07679465776294,53569907.85003925,-2882899.4831649153
Mercury,31.686143572621035,53127172.29425571,-193846.67208434764
Mercury,32.29549248747913,52554135.18726182,2495649.4799112407
Mercury,32.904841402337226,51848389.48285826,5178810.361424962
Mercury,33.51419031719533,51007862.21499915,7848474.210497096
Mercury,34.123539232053425,50030864.77759357,10497103.876207236
Mercury,34.73288814691152,48916145.79055962,13116800.77440997
Mercury,35.342237061769616,47662945.89200795,15699325.896507034
Mercury,35.95158597662771,46271053.58911938,18236128.69559041
Mercury,36.56093489148581,44740861.078606,20718384.59416421
Mercury,37.17028380634391,43073418.72070378,23137041.723545045
Mercury,37.779632721202006,41270486.63087947,25482877.3100033
Mercury,38.3889816360601,39334581.6566035,27746563.86246286
Mercury,38.9983305509182,37269017.85127382,29918744.990863577
Mercury,39.60767946577629,35077938.46420115,31990120.29821408
Mercury,40.21702838063439,32766337.455363628,33951538.3545371
Mercury,40.826377295492485,30340068.63551405,35794096.29615
Mercury,41.43572621035059,27805840.74094779,37509244.125024185
Mercury,42.04507512520868,25171197.08550845,39088891.342497066
Mercury,42.65442404006678,22444478.88828797,40525513.175630525
Mercury,43.263772954924875,19634771.94052221,41812253.38019325
Mercury,43.87312186978297,16751836.923705146,42943020.46564635
Mercury,44.482470784641066,13806024.385810338,43912574.21116698
